1 	11/03/1996 	41 	05 	04 	52 	30 	33 	0 	0,00 	17 	39.158,92 	2016 	330,21 	SIM 	1.714.650,23
2 	18/03/1996 	09 	39 	37 	49 	43 	41 	1 	2.307.162,23 	65 	14.424,02 	4488 	208,91 	NÃO 	0,00
3 	25/03/1996 	36 	30 	10 	11 	29 	47 	2 	391.192,51 	62 	10.515,93 	4261 	153,01 	NÃO 	0,00
4 	01/04/1996 	06 	59 	42 	27 	01 	05 	0 	0,00 	39 	15.322,24 	3311 	180,48 	SIM 	717.080,75
5 	08/04/1996 	01 	19 	46 	06 	16 	02 	0 	0,00 	98 	5.318,10 	5399 	96,53 	SIM 	1.342.488,85
6 	15/04/1996 	19 	40 	07 	13 	22 	47 	0 	0,00 	109 	7.214,66 	7147 	110,03 	SIM 	2.286.166,33
7 	22/04/1996 	56 	38 	21 	20 	03 	05 	0 	0,00 	100 	8.746,05 	5736 	152,48 	SIM 	3.335.692,28
8 	29/04/1996 	53 	17 	38 	04 	47 	37 	0 	0,00 	60 	16.084,11 	5262 	183,40 	SIM 	4.493.748,19
9 	06/05/1996 	55 	43 	56 	54 	08 	60 	0 	0,00 	17 	60.043,79 	2175 	469,31 	SIM 	5.718.641,49
10 	13/05/1996 	25 	04 	18 	57 	21 	38 	0 	0,00 	251 	6.638,45 	12590 	132,35 	SIM 	13.334.769,81
11 	20/05/1996 	25 	15 	58 	37 	59 	38 	1 	15.591.365,07 	148 	12.706,05 	9442 	199,16 	NÃO 	0,00
12 	27/05/1996 	20 	27 	43 	16 	19 	04 	0 	0,00 	108 	6.791,17 	6454 	113,64 	SIM 	880.136,24
13 	03/06/1996 	47 	32 	50 	54 	18 	56 	0 	0,00 	43 	20.543,98 	2934 	301,09 	SIM 	1.940.205,35
14 	10/06/1996 	16 	02 	27 	47 	23 	53 	0 	0,00 	85 	10.458,19 	5323 	167,00 	SIM 	3.006.941,32
15 	17/06/1996 	60 	12 	33 	52 	35 	51 	0 	0,00 	57 	17.919,89 	3931 	259,84 	SIM 	4.232.661,35
16 	24/06/1996 	60 	58 	49 	32 	20 	34 	0 	0,00 	31 	33.307,13 	3250 	317,70 	SIM 	5.471.686,62
17 	01/07/1996 	10 	20 	06 	19 	51 	13 	1 	6.789.869,08 	144 	7.628,37 	9376 	117,16 	NÃO 	0,00
18 	08/07/1996 	37 	36 	56 	27 	42 	23 	0 	0,00 	52 	13.763,52 	4484 	159,61 	SIM 	858.843,48
19 	15/07/1996 	05 	25 	12 	10 	60 	24 	0 	0,00 	159 	5.380,14 	9250 	92,48 	SIM 	10.506.266,73
20 	22/07/1996 	25 	28 	30 	33 	51 	11 	0 	0,00 	72 	15.486,97 	5728 	194,67 	SIM 	11.844.340,83
21 	29/07/1996 	49 	46 	06 	53 	33 	36 	0 	0,00 	63 	17.694,19 	5030 	221,62 	SIM 	13.182.021,44
22 	05/08/1996 	09 	38 	56 	01 	31 	46 	0 	0,00 	47 	27.212,90 	4865 	262,90 	SIM 	14.716.828,84
23 	12/08/1996 	17 	52 	51 	59 	39 	37 	0 	0,00 	74 	20.198,46 	4897 	305,23 	SIM 	16.510.452,00
24 	19/08/1996 	01 	08 	14 	28 	33 	43 	1 	18.661.679,61 	227 	7.897,31 	13486 	132,93 	NÃO 	0,00
25 	25/08/1996 	56 	50 	55 	54 	24 	43 	0 	0,00 	28 	26.338,50 	2741 	269,06 	SIM 	884.973,50
26 	01/09/1996 	50 	53 	57 	10 	58 	22 	0 	0,00 	16 	52.473,74 	1823 	460,55 	SIM 	1.892.469,30
27 	08/09/1996 	44 	33 	13 	51 	17 	20 	0 	0,00 	99 	9.306,24 	6466 	142,49 	SIM 	2.998.050,68
28 	15/09/1996 	60 	06 	22 	03 	24 	54 	0 	0,00 	50 	19.749,22 	4895 	201,73 	SIM 	4.183.003,48
29 	22/09/1996 	14 	56 	58 	08 	43 	03 	1 	5.401.793,60 	44 	23.083,15 	5248 	193,53 	NÃO 	0,00
30 	29/09/1996 	38 	50 	07 	29 	15 	14 	0 	0,00 	80 	11.347,74 	5885 	154,26 	SIM 	10.127.520,80
31 	06/10/1996 	56 	19 	28 	48 	17 	45 	0 	0,00 	103 	8.793,04 	5680 	159,45 	SIM 	11.214.340,46
32 	13/10/1996 	43 	33 	14 	36 	05 	44 	0 	0,00 	96 	11.430,91 	6876 	159,60 	SIM 	12.531.181,83
33 	20/10/1996 	05 	33 	49 	17 	42 	39 	1 	13.997.410,74 	128 	9.545,76 	8722 	140,09 	NÃO 	0,00
34 	27/10/1996 	15 	13 	57 	53 	40 	17 	0 	0,00 	51 	13.604,06 	2627 	264,11 	SIM 	832.568,20
35 	03/11/1996 	21 	57 	16 	23 	54 	04 	0 	0,00 	39 	20.051,18 	3576 	218,68 	SIM 	1.770.963,49
36 	10/11/1996 	13 	03 	51 	17 	29 	25 	0 	0,00 	143 	6.238,12 	8548 	104,36 	SIM 	2.841.425,78
37 	17/11/1996 	22 	06 	07 	52 	38 	60 	0 	0,00 	47 	16.848,61 	3695 	214,32 	SIM 	3.791.687,26
38 	24/11/1996 	55 	42 	10 	43 	45 	54 	0 	0,00 	24 	38.863,10 	1999 	466,59 	SIM 	4.910.944,53
39 	01/12/1996 	16 	37 	45 	52 	56 	12 	0 	0,00 	73 	13.459,05 	4444 	221,09 	SIM 	13.456.111,33
40 	08/12/1996 	03 	12 	46 	05 	47 	08 	0 	0,00 	189 	7.789,93 	12117 	121,51 	SIM 	15.222.867,04
41 	15/12/1996 	38 	26 	35 	39 	12 	47 	1 	17.019.238,50 	148 	10.114,70 	10182 	147,03 	NÃO 	0,00
42 	22/12/1996 	24 	36 	19 	33 	07 	11 	0 	0,00 	201 	3.684,64 	9580 	77,31 	SIM 	888.735,02
43 	29/12/1996 	02 	58 	25 	06 	26 	17 	0 	0,00 	75 	9.738,03 	5070 	144,06 	SIM 	1.765.157,22
44 	05/01/1997 	47 	38 	18 	14 	29 	44 	0 	0,00 	103 	7.099,32 	7742 	94,45 	SIM 	2.642.633,14
45 	12/01/1997 	30 	07 	37 	55 	44 	53 	0 	0,00 	33 	27.201,47 	3004 	298,82 	SIM 	3.719.811,46
46 	19/01/1997 	32 	46 	01 	60 	24 	23 	0 	0,00 	91 	9.982,42 	6263 	145,04 	SIM 	4.809.891,56
47 	26/01/1997 	35 	17 	03 	48 	25 	56 	0 	0,00 	210 	4.458,44 	10873 	85,94 	SIM 	5.933.418,51
48 	02/02/1997 	47 	05 	34 	28 	02 	50 	0 	0,00 	132 	7.482,95 	7454 	132,25 	SIM 	7.118.717,38
49 	09/02/1997 	33 	07 	43 	35 	13 	55 	1 	8.405.156,76 	155 	6.916,34 	9830 	108,85 	NÃO 	0,00
50 	16/02/1997 	57 	44 	21 	16 	58 	06 	0 	0,00 	31 	25.241,25 	2800 	278,91 	SIM 	8.917.830,39
51 	23/02/1997 	23 	24 	42 	25 	17 	47 	0 	0,00 	143 	7.231,47 	9361 	110,25 	SIM 	10.158.749,73
52 	02/03/1997 	58 	15 	59 	30 	38 	46 	0 	0,00 	77 	15.544,23 	6442 	185,43 	SIM 	11.595.036,71
53 	09/03/1997 	42 	13 	03 	46 	38 	16 	0 	0,00 	210 	6.337,79 	10941 	121,41 	SIM 	13.192.159,46
54 	16/03/1997 	05 	21 	09 	56 	18 	36 	2 	7.469.653,99 	207 	7.033,61 	13067 	111,20 	NÃO 	0,00
55 	23/03/1997 	29 	02 	14 	38 	23 	52 	0 	0,00 	66 	10.817,63 	3840 	185,56 	SIM 	856.756,39
56 	30/03/1997 	51 	35 	59 	07 	20 	02 	0 	0,00 	48 	12.142,20 	2599 	223,81 	SIM 	1.556.147,46
57 	06/04/1997 	27 	17 	16 	34 	07 	59 	0 	0,00 	79 	10.699,10 	6173 	136,65 	SIM 	2.570.421,80
58 	13/04/1997 	30 	49 	27 	37 	12 	44 	1 	3.631.304,91 	65 	13.601,07 	5040 	175,06 	NÃO 	0,00
59 	20/04/1997 	28 	13 	34 	02 	08 	54 	0 	0,00 	90 	7.312,34 	5351 	122,75 	SIM 	789.733,42
60 	27/04/1997 	38 	14 	21 	15 	03 	20 	0 	0,00 	129 	7.111,47 	7914 	115,69 	SIM 	9.478.249,26
61 	04/05/1997 	59 	08 	18 	29 	42 	44 	0 	0,00 	52 	18.902,94 	3866 	253,76 	SIM 	10.657.792,45
62 	11/05/1997 	52 	13 	06 	24 	08 	31 	0 	0,00 	119 	9.968,70 	8613 	137,46 	SIM 	12.081.323,45
63 	18/05/1997 	26 	09 	41 	49 	25 	40 	1 	13.680.019,57 	82 	16.246,91 	6359 	209,10 	NÃO 	0,00
64 	25/05/1997 	08 	54 	50 	60 	23 	12 	0 	0,00 	29 	23.309,96 	2441 	276,38 	SIM 	811.186,58
65 	01/06/1997 	20 	01 	05 	32 	25 	34 	0 	0,00 	61 	11.542,37 	4932 	142,48 	SIM 	1.656.088,09
66 	08/06/1997 	15 	26 	12 	33 	48 	13 	0 	0,00 	102 	8.054,25 	7686 	106,68 	SIM 	2.641.927,81
67 	15/06/1997 	47 	14 	27 	52 	17 	12 	0 	0,00 	83 	10.617,25 	5479 	160,52 	SIM 	3.699.406,44
68 	22/06/1997 	53 	13 	03 	01 	12 	59 	0 	0,00 	49 	18.496,73 	4758 	190,11 	SIM 	4.787.014,46
69 	29/06/1997 	56 	58 	34 	53 	25 	45 	0 	0,00 	55 	17.271,48 	3661 	258,96 	SIM 	5.926.931,93
70 	06/07/1997 	40 	17 	23 	43 	27 	58 	0 	0,00 	95 	12.899,52 	6071 	201,46 	SIM 	14.883.849,29
71 	13/07/1997 	53 	16 	45 	43 	33 	27 	0 	0,00 	115 	12.451,74 	7430 	192,35 	SIM 	16.602.188,45
72 	20/07/1997 	19 	48 	43 	01 	34 	44 	0 	0,00 	85 	19.676,33 	7982 	209,13 	SIM 	18.609.174,26
73 	27/07/1997 	57 	25 	45 	28 	51 	26 	1 	21.026.575,40 	95 	21.205,27 	8222 	244,52 	NÃO 	0,00
74 	03/08/1997 	02 	24 	34 	50 	38 	37 	0 	0,00 	40 	18.257,68 	3321 	219,48 	SIM 	876.368,71
75 	10/08/1997 	36 	49 	37 	35 	24 	21 	0 	0,00 	70 	12.395,02 	5032 	172,09 	SIM 	1.917.550,02
76 	17/08/1997 	33 	18 	23 	08 	17 	53 	0 	0,00 	92 	10.247,61 	6399 	147,04 	SIM 	3.048.886,14
77 	24/08/1997 	29 	54 	40 	57 	49 	21 	0 	0,00 	20 	49.648,81 	2635 	376,09 	SIM 	4.240.457,60
78 	31/08/1997 	22 	32 	46 	12 	25 	31 	0 	0,00 	103 	9.907,36 	5984 	170,19 	SIM 	5.465.006,39
79 	07/09/1997 	43 	25 	02 	13 	31 	17 	1 	6.770.601,75 	247 	4.404,85 	13375 	81,18 	NÃO 	0,00
80 	14/09/1997 	51 	40 	37 	23 	48 	28 	0 	0,00 	43 	26.443,00 	4284 	264,89 	SIM 	10.953.707,53
81 	21/09/1997 	47 	41 	10 	60 	54 	23 	0 	0,00 	62 	19.453,15 	4870 	247,17 	SIM 	12.401.021,68
82 	28/09/1997 	51 	36 	53 	29 	18 	15 	1 	13.877.826,02 	77 	15.982,73 	5889 	208,57 	NÃO 	0,00
83 	05/10/1997 	24 	16 	04 	42 	57 	15 	0 	0,00 	76 	9.408,43 	4756 	150,04 	SIM 	858.048,93
84 	12/10/1997 	10 	34 	04 	06 	25 	40 	0 	0,00 	102 	7.539,68 	5546 	138,40 	SIM 	1.780.905,80
85 	19/10/1997 	47 	15 	30 	37 	45 	06 	0 	0,00 	45 	17.279,25 	4312 	179,96 	SIM 	2.713.984,86
86 	26/10/1997 	54 	21 	06 	34 	36 	22 	0 	0,00 	48 	16.752,96 	3752 	213,90 	SIM 	3.678.955,17
87 	02/11/1997 	40 	04 	28 	32 	11 	05 	0 	0,00 	64 	12.696,60 	5195 	156,11 	SIM 	4.654.053,86
88 	09/11/1997 	45 	37 	29 	04 	43 	18 	0 	0,00 	110 	7.965,82 	6805 	128,51 	SIM 	5.705.540,99
89 	16/11/1997 	59 	42 	34 	13 	44 	55 	0 	0,00 	36 	24.246,00 	3847 	226,45 	SIM 	6.752.968,26
90 	23/11/1997 	21 	26 	40 	54 	09 	52 	1 	15.764.300,87 	74 	18.584,49 	4763 	288,17 	NÃO 	0,00
91 	30/11/1997 	60 	04 	10 	35 	39 	02 	0 	0,00 	68 	9.588,80 	3878 	167,81 	SIM 	782.445,93
92 	07/12/1997 	05 	23 	51 	03 	01 	24 	0 	0,00 	75 	9.792,64 	5530 	132,56 	SIM 	1.663.783,45
93 	14/12/1997 	22 	53 	31 	28 	02 	36 	0 	0,00 	61 	12.369,31 	3795 	198,44 	SIM 	2.569.217,31
94 	21/12/1997 	28 	51 	55 	18 	52 	08 	0 	0,00 	25 	31.457,49 	2086 	376,26 	SIM 	3.512.942,16
95 	28/12/1997 	46 	60 	06 	40 	50 	45 	0 	0,00 	22 	30.807,89 	2185 	309,58 	SIM 	4.326.270,55
96 	04/01/1998 	04 	42 	58 	26 	07 	40 	1 	5.218.562,47 	62 	11.993,17 	3984 	186,27 	NÃO 	0,00
97 	11/01/1998 	56 	53 	11 	14 	05 	35 	1 	727.932,66 	56 	10.832,33 	3441 	175,94 	NÃO 	0,00
98 	18/01/1998 	43 	33 	14 	31 	35 	13 	0 	0,00 	89 	6.508,88 	4972 	116,28 	SIM 	695.149,05
99 	25/01/1998 	30 	33 	24 	11 	46 	60 	0 	0,00 	46 	14.037,92 	3015 	213,76 	SIM 	1.470.041,96
100 	01/02/1998 	46 	48 	30 	14 	29 	51 	0 	0,00 	56 	15.930,48 	3600 	247,32 	SIM 	8.585.129,47
101 	08/02/1998 	39 	01 	37 	31 	29 	18 	0 	0,00 	52 	20.589,41 	4653 	229,64 	SIM 	9.869.908,65
102 	15/02/1998 	44 	42 	37 	56 	19 	20 	1 	11.336.626,88 	73 	16.743,36 	6197 	196,85 	NÃO 	0,00
103 	22/02/1998 	09 	01 	57 	07 	54 	49 	1 	696.984,24 	28 	20.743,58 	2632 	220,24 	NÃO 	0,00
104 	01/03/1998 	13 	01 	38 	21 	52 	04 	0 	0,00 	37 	14.006,33 	2588 	199,85 	SIM 	621.880,72
105 	08/03/1998 	03 	13 	31 	43 	46 	49 	0 	0,00 	55 	11.824,08 	4875 	133,14 	SIM 	1.402.269,88
106 	15/03/1998 	24 	16 	38 	05 	39 	35 	0 	0,00 	94 	7.678,27 	5390 	133,65 	SIM 	2.268.378,66
107 	22/03/1998 	02 	24 	52 	04 	16 	51 	0 	0,00 	35 	21.494,23 	3554 	211,26 	SIM 	3.171.136,01
108 	29/03/1998 	60 	29 	34 	24 	21 	59 	0 	0,00 	35 	22.511,72 	2453 	320,57 	SIM 	4.116.628,49
109 	04/04/1998 	54 	13 	44 	49 	48 	01 	0 	0,00 	39 	21.153,30 	3881 	212,15 	SIM 	11.523.677,38
110 	11/04/1998 	57 	58 	18 	31 	43 	52 	0 	0,00 	35 	27.771,48 	3212 	302,01 	SIM 	12.690.079,16
111 	18/04/1998 	52 	32 	04 	33 	25 	22 	0 	0,00 	68 	18.082,94 	6109 	200,88 	SIM 	14.165.647,19
112 	25/04/1998 	37 	43 	34 	20 	12 	42 	1 	15.802.579,93 	137 	9.957,01 	8340 	163,25 	NÃO 	0,00
113 	02/05/1998 	34 	54 	26 	28 	55 	07 	0 	0,00 	38 	14.269,55 	2572 	210,40 	SIM 	650.691,40
114 	09/05/1998 	47 	54 	18 	06 	12 	37 	0 	0,00 	71 	9.626,08 	4908 	138,99 	SIM 	1.470.833,69
115 	16/05/1998 	06 	14 	24 	20 	04 	38 	0 	0,00 	78 	9.283,10 	5091 	141,95 	SIM 	2.339.731,79
116 	23/05/1998 	36 	42 	32 	05 	13 	51 	0 	0,00 	64 	11.956,28 	5270 	144,91 	SIM 	3.257.973,62
117 	30/05/1998 	53 	42 	27 	20 	33 	25 	0 	0,00 	36 	22.046,87 	3822 	207,26 	SIM 	4.210.398,41
118 	06/06/1998 	22 	57 	37 	09 	25 	56 	0 	0,00 	53 	16.052,88 	4342 	195,56 	SIM 	5.231.361,36
119 	13/06/1998 	47 	21 	01 	50 	36 	38 	0 	0,00 	21 	38.921,16 	2691 	303,13 	SIM 	13.206.225,91
120 	20/06/1998 	46 	45 	16 	40 	27 	03 	0 	0,00 	92 	13.020,97 	7073 	169,04 	SIM 	14.643.740,70
121 	27/06/1998 	53 	41 	44 	02 	29 	55 	0 	0,00 	45 	28.917,00 	4554 	285,17 	SIM 	16.205.258,33
122 	04/07/1998 	20 	43 	39 	11 	53 	17 	0 	0,00 	83 	18.210,45 	7203 	209,43 	SIM 	18.019.018,95
123 	11/07/1998 	13 	42 	16 	32 	14 	26 	0 	0,00 	176 	12.440,56 	13159 	166,06 	SIM 	20.646.465,28
124 	18/07/1998 	52 	05 	34 	57 	15 	41 	1 	24.536.288,72 	188 	17.242,12 	14019 	230,76 	NÃO 	0,00
125 	25/07/1998 	56 	47 	25 	59 	53 	41 	0 	0,00 	46 	15.425,68 	2784 	254,38 	SIM 	851.497,47
126 	01/08/1998 	32 	28 	06 	10 	11 	40 	0 	0,00 	83 	10.052,56 	5510 	151,13 	SIM 	1.852.731,83
127 	08/08/1998 	59 	21 	51 	54 	29 	50 	0 	0,00 	40 	23.638,47 	2613 	361,14 	SIM 	2.987.378,17
128 	15/08/1998 	23 	43 	03 	21 	09 	18 	0 	0,00 	973 	1.024,41 	11715 	84,91 	SIM 	4.183.483,50
129 	22/08/1998 	46 	54 	10 	09 	01 	32 	0 	0,00 	67 	15.634,41 	5320 	196,51 	SIM 	5.440.490,00
130 	29/08/1998 	13 	42 	38 	49 	53 	29 	0 	0,00 	155 	11.796,24 	11403 	160,03 	SIM 	18.814.958,31
131 	05/09/1998 	30 	09 	17 	27 	04 	44 	0 	0,00 	361 	6.811,67 	21683 	113,19 	SIM 	21.765.774,49
132 	12/09/1998 	44 	35 	50 	41 	09 	07 	0 	0,00 	143 	20.846,64 	12179 	244,29 	SIM 	25.343.057,89
133 	19/09/1998 	19 	57 	06 	39 	34 	05 	1 	30.533.241,12 	431 	10.035,16 	29264 	147,51 	NÃO 	0,00
134 	26/09/1998 	60 	32 	25 	36 	52 	04 	0 	0,00 	82 	10.253,38 	4575 	183,42 	SIM 	1.008.932,39
135 	03/10/1998 	35 	40 	21 	59 	53 	22 	0 	0,00 	40 	24.573,18 	3604 	272,19 	SIM 	2.188.444,72
136 	10/10/1998 	17 	25 	45 	38 	01 	59 	0 	0,00 	126 	8.435,36 	7403 	143,29 	SIM 	3.463.871,17
137 	17/10/1998 	26 	15 	16 	22 	19 	49 	0 	0,00 	88 	12.675,49 	6701 	166,13 	SIM 	4.802.402,93
138 	24/10/1998 	41 	14 	37 	05 	40 	27 	0 	0,00 	86 	14.074,36 	6953 	173,74 	SIM 	6.254.876,80
139 	31/10/1998 	26 	27 	13 	42 	41 	03 	2 	3.902.486,14 	179 	7.216,46 	9401 	137,14 	NÃO 	0,00
140 	07/11/1998 	55 	31 	46 	44 	41 	07 	0 	0,00 	45 	36.581,33 	4945 	332,24 	SIM 	16.453.628,31
141 	14/11/1998 	10 	22 	42 	13 	41 	58 	0 	0,00 	119 	20.106,10 	10533 	226,70 	SIM 	19.324.778,90
142 	21/11/1998 	20 	59 	19 	54 	15 	08 	0 	0,00 	162 	18.143,56 	13991 	209,66 	SIM 	22.851.887,24
143 	28/11/1998 	40 	18 	06 	20 	50 	53 	0 	0,00 	144 	24.792,99 	10994 	324,10 	SIM 	27.136.115,88
144 	05/12/1998 	08 	32 	44 	36 	45 	55 	1 	33.597.755,21 	257 	20.952,14 	23952 	224,38 	NÃO 	0,00
145 	12/12/1998 	43 	15 	41 	51 	16 	31 	0 	0,00 	71 	15.061,27 	3389 	314,91 	SIM 	1.283.220,59
146 	19/12/1998 	51 	34 	25 	60 	42 	32 	0 	0,00 	51 	23.923,45 	4079 	298,52 	SIM 	2.747.335,81
147 	24/12/1998 	24 	06 	38 	23 	28 	16 	1 	3.805.750,38 	75 	11.760,17 	5418 	162,48 	NÃO 	0,00
148 	31/12/1998 	32 	55 	59 	41 	58 	35 	0 	0,00 	15 	53.660,04 	2322 	345,95 	SIM 	965.880,61
149 	09/01/1999 	11 	45 	48 	07 	28 	20 	0 	0,00 	106 	9.795,13 	6290 	164,74 	SIM 	2.211.820,94
150 	16/01/1999 	50 	44 	12 	55 	52 	54 	0 	0,00 	56 	36.378,71 	5540 	367,00 	SIM 	21.414.530,14
151 	23/01/1999 	03 	43 	16 	56 	52 	20 	1 	24.091.811,02 	152 	14.678,07 	9869 	225,62 	NÃO 	0,00
152 	30/01/1999 	12 	05 	15 	51 	58 	29 	0 	0,00 	75 	11.562,39 	5041 	172,03 	SIM 	1.040.614,80
153 	06/02/1999 	47 	02 	31 	42 	45 	30 	0 	0,00 	47 	22.846,45 	4218 	254,57 	SIM 	2.329.154,62
154 	13/02/1999 	08 	10 	24 	33 	45 	48 	0 	0,00 	144 	7.888,29 	9252 	122,78 	SIM 	3.692.251,60
155 	20/02/1999 	12 	32 	44 	43 	35 	30 	1 	4.988.808,21 	67 	16.126,32 	4974 	217,22 	NÃO 	0,00
156 	27/02/1999 	52 	23 	42 	17 	55 	49 	0 	0,00 	74 	11.018,10 	4455 	183,02 	SIM 	978.407,41
157 	06/03/1999 	17 	13 	04 	44 	41 	21 	1 	2.140.030,92 	134 	7.224,03 	8894 	108,84 	NÃO 	0,00
158 	13/03/1999 	58 	43 	51 	14 	17 	04 	0 	0,00 	31 	25.856,53 	3630 	220,81 	SIM 	961.863,12
159 	20/03/1999 	16 	09 	50 	58 	11 	35 	1 	2.038.170,67 	57 	15.735,49 	4124 	217,49 	NÃO 	0,00
160 	27/03/1999 	13 	42 	52 	58 	02 	54 	0 	0,00 	74 	19.431,89 	6132 	234,50 	SIM 	11.251.511,63
161 	03/04/1999 	25 	37 	30 	39 	06 	41 	0 	0,00 	95 	14.430,61 	6865 	199,69 	SIM 	12.896.601,04
162 	10/04/1999 	23 	33 	51 	38 	48 	21 	0 	0,00 	92 	20.941,30 	7244 	265,96 	SIM 	15.208.520,83
163 	17/04/1999 	41 	56 	27 	36 	53 	08 	2 	8.975.833,36 	146 	15.657,23 	10793 	211,80 	NÃO 	0,00
164 	24/04/1999 	04 	19 	14 	10 	44 	28 	0 	0,00 	111 	7.595,63 	8386 	100,54 	SIM 	1.011.737,90
165 	01/05/1999 	39 	56 	19 	23 	10 	35 	2 	1.044.444,54 	75 	11.968,35 	5378 	166,91 	NÃO 	0,00
166 	08/05/1999 	60 	57 	59 	13 	12 	22 	0 	0,00 	47 	17.424,67 	3371 	242,95 	SIM 	982.751,54
167 	15/05/1999 	01 	38 	48 	28 	11 	33 	1 	2.100.980,21 	82 	11.364,11 	4997 	186,48 	NÃO 	0,00
168 	22/05/1999 	45 	02 	35 	09 	50 	31 	0 	0,00 	48 	15.743,70 	3528 	214,20 	SIM 	906.836,93
169 	29/05/1999 	52 	51 	37 	13 	21 	01 	0 	0,00 	65 	13.679,08 	4489 	198,07 	SIM 	1.973.804,91
170 	05/06/1999 	07 	51 	55 	41 	58 	46 	0 	0,00 	50 	32.383,95 	6257 	258,78 	SIM 	13.643.095,71
171 	12/06/1999 	54 	27 	04 	43 	40 	46 	1 	16.052.410,83 	134 	14.983,30 	10378 	193,46 	NÃO 	0,00
172 	19/06/1999 	49 	36 	14 	26 	35 	10 	0 	0,00 	64 	13.460,12 	4592 	186,89 	SIM 	1.033.736,70
173 	26/06/1999 	29 	28 	49 	17 	42 	50 	1 	2.148.316,42 	40 	23.220,41 	3610 	256,32 	NÃO 	0,00
174 	03/07/1999 	11 	52 	22 	23 	36 	59 	0 	0,00 	44 	17.846,85 	3217 	243,18 	SIM 	942.313,58
175 	10/07/1999 	10 	20 	13 	01 	42 	50 	0 	0,00 	114 	8.094,08 	7058 	130,25 	SIM 	2.049.582,99
176 	17/07/1999 	28 	04 	01 	45 	53 	03 	0 	0,00 	62 	16.696,39 	5405 	190,80 	SIM 	3.291.794,61
177 	24/07/1999 	35 	22 	39 	41 	59 	38 	0 	0,00 	52 	21.716,29 	4408 	255,21 	SIM 	4.646.890,81
178 	31/07/1999 	05 	27 	19 	26 	15 	33 	1 	6.129.539,43 	198 	6.240,11 	13086 	94,07 	NÃO 	0,00
179 	07/08/1999 	06 	53 	05 	26 	27 	23 	0 	0,00 	78 	10.281,59 	5646 	141,51 	SIM 	962.357,04
180 	14/08/1999 	39 	06 	29 	60 	51 	23 	0 	0,00 	111 	15.907,98 	6978 	252,09 	SIM 	12.143.009,93
181 	21/08/1999 	33 	01 	55 	35 	51 	27 	0 	0,00 	182 	11.127,07 	11797 	171,02 	SIM 	14.573.162,71
182 	28/08/1999 	46 	60 	05 	10 	28 	03 	0 	0,00 	239 	9.954,78 	17413 	136,13 	SIM 	17.428.194,22
183 	04/09/1999 	16 	11 	07 	40 	44 	02 	0 	0,00 	306 	9.468,79 	20677 	139,60 	SIM 	20.905.131,40
184 	11/09/1999 	09 	60 	21 	16 	41 	34 	0 	0,00 	217 	14.699,97 	15462 	205,53 	SIM 	24.733.003,15
185 	18/09/1999 	59 	17 	22 	46 	43 	55 	0 	0,00 	366 	12.275,86 	24849 	180,13 	SIM 	30.124.561,09
186 	25/09/1999 	24 	26 	51 	25 	14 	23 	0 	0,00 	352 	17.072,24 	31164 	192,10 	SIM 	37.335.874,86
187 	02/10/1999 	06 	44 	58 	41 	36 	48 	0 	0,00 	397 	23.058,35 	39365 	231,66 	SIM 	48.320.873,60
188 	10/10/1999 	34 	42 	43 	46 	27 	17 	1 	64.905.517,65 	1200 	11.517,11 	90235 	152,58 	NÃO 	0,00
189 	16/10/1999 	41 	53 	38 	04 	31 	15 	0 	0,00 	61 	23.476,18 	5485 	260,09 	SIM 	1.718.456,25
190 	24/10/1999 	32 	40 	42 	21 	10 	05 	0 	0,00 	304 	14.923,96 	21481 	210,41 	SIM 	44.895.988,05
191 	31/10/1999 	58 	05 	41 	03 	01 	23 	1 	50.968.412,58 	383 	13.212,41 	30477 	165,41 	NÃO 	0,00
192 	06/11/1999 	01 	60 	26 	41 	28 	54 	0 	0,00 	53 	23.005,08 	4403 	275,87 	SIM 	1.463.122,78
193 	13/11/1999 	12 	04 	11 	49 	43 	19 	0 	0,00 	190 	7.199,87 	11415 	119,39 	SIM 	3.104.692,58
194 	20/11/1999 	32 	42 	43 	25 	28 	33 	0 	0,00 	106 	12.862,40 	7456 	182,18 	SIM 	4.740.789,92
195 	27/11/1999 	17 	03 	44 	37 	09 	32 	1 	6.370.250,64 	339 	4.005,56 	13819 	97,89 	NÃO 	0,00
196 	04/12/1999 	32 	17 	09 	14 	24 	07 	0 	0,00 	182 	5.309,16 	10493 	91,75 	SIM 	1.159.520,95
197 	11/12/1999 	19 	52 	29 	15 	12 	05 	0 	0,00 	128 	8.259,15 	8720 	120,78 	SIM 	2.428.125,98
198 	18/12/1999 	40 	23 	01 	18 	35 	08 	0 	0,00 	125 	8.881,02 	7134 	155,02 	SIM 	3.760.278,08
199 	24/12/1999 	52 	37 	57 	16 	10 	50 	1 	4.915.593,20 	34 	28.316,55 	3143 	305,16 	NÃO 	0,00
200 	31/12/1999 	12 	15 	44 	34 	51 	19 	2 	8.829.389,20 	186 	11.008,48 	13027 	156,59 	NÃO 	0,00
201 	08/01/2000 	55 	22 	05 	30 	35 	20 	1 	1.038.373,94 	77 	11.237,81 	4502 	191,48 	NÃO 	0,00
202 	15/01/2000 	49 	53 	44 	12 	24 	45 	0 	0,00 	65 	12.412,65 	4279 	187,85 	SIM 	968.186,82
203 	22/01/2000 	11 	55 	44 	19 	29 	47 	0 	0,00 	63 	14.099,33 	5417 	163,36 	SIM 	2.034.096,14
